service_id,date,exception_type
6,20181101,1
6,20181111,1
6,20181225,1
6,20190101,1
6,20190421,1
6,20190422,1
6,20190501,1
6,20190530,1
6,20190609,1
6,20190610,1
6,20190721,1
6,20190815,1
6,20191101,1
6,20191225,1
6,20200101,1
6,20200412,1
6,20200501,1
6,20200521,1
6,20200531,1
6,20200721,1
6,20201101,1
6,20201225,1
6,20210101,1
6,20210404,1
6,20210405,1
6,20210513,1
6,20210523,1
6,20210524,1
6,20210721,1
6,20210815,1
4,20181101,1
4,20181225,1
4,20190101,1
4,20190422,1
4,20190501,1
4,20190530,1
4,20190610,1
4,20190815,1
4,20191101,1
4,20191225,1
4,20200101,1
4,20200521,1
4,20200721,1
4,20201225,1
4,20210101,1
4,20210405,1
4,20210513,1
4,20210524,1
4,20210721,1
7,20181101,1
7,20181225,1
7,20190101,1
7,20190422,1
7,20190501,1
7,20190530,1
7,20190610,1
7,20190815,1
7,20191101,1
7,20191225,1
7,20200101,1
7,20200413,1
7,20200501,1
7,20200521,1
7,20200721,1
7,20201225,1
7,20210101,1
7,20210405,1
7,20210513,1
7,20210524,1
7,20210721,1
20,20181101,2
20,20181225,2
20,20190101,2
20,20190422,2
20,20190501,2
20,20190530,2
20,20190610,2
20,20190815,2
20,20191101,2
20,20191225,2
20,20200101,2
20,20200501,2
20,20200521,2
20,20200721,2
20,20201225,2
20,20210101,2
20,20210405,2
20,20210513,2
20,20210524,2
20,20210721,2
13,20181101,2
13,20181225,2
13,20190101,2
13,20190422,2
13,20190501,2
13,20190530,2
13,20190610,2
13,20190815,2
13,20191101,2
13,20191225,2
13,20200101,2
13,20200413,2
13,20200501,2
13,20200521,2
13,20200721,2
13,20201225,2
13,20210101,2
13,20210405,2
13,20210513,2
13,20210524,2
13,20210721,2
9,20181225,2
9,20190101,2
9,20190422,2
9,20190501,2
9,20190530,2
9,20190610,2
9,20190815,2
9,20191101,2
9,20191225,2
9,20200101,2
9,20200413,2
9,20200501,2
9,20200521,2
9,20200601,2
9,20200721,2
9,20201225,2
9,20210101,2
9,20210405,2
9,20210513,2
9,20210524,2
9,20210721,2
10,20181225,1
10,20190101,1
10,20190422,1
10,20190501,1
10,20190530,1
10,20190610,1
10,20190815,1
10,20191101,1
10,20191225,1
10,20200101,1
10,20200413,1
10,20200501,1
10,20200521,1
10,20200601,1
10,20200721,1
10,20201225,1
10,20210101,1
10,20210405,1
10,20210513,1
10,20210524,1
10,20210721,1
