trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
10,05:45:00,06:00:00,3,1,,0,0,
10,06:05:00,06:20:00,4,2,,0,0,
100,14:05:00,14:15:00,1,1,,0,0,
100,14:20:00,14:30:00,2,2,,0,0,
101,14:35:00,14:45:00,1,1,,0,0,
101,14:50:00,15:00:00,2,2,,0,0,
102,15:05:00,15:15:00,1,1,,0,0,
102,15:20:00,15:30:00,2,2,,0,0,
103,15:35:00,15:45:00,1,1,,0,0,
103,15:50:00,16:00:00,2,2,,0,0,
104,16:05:00,16:15:00,1,1,,0,0,
104,16:20:00,16:30:00,2,2,,0,0,
105,16:35:00,16:45:00,1,1,,0,0,
105,16:50:00,17:00:00,2,2,,0,0,
106,17:05:00,17:15:00,1,1,,0,0,
106,17:20:00,17:30:00,2,2,,0,0,
107,17:35:00,17:45:00,1,1,,0,0,
107,17:50:00,18:00:00,2,2,,0,0,
108,18:05:00,18:15:00,1,1,,0,0,
108,18:20:00,18:30:00,2,2,,0,0,
109,18:35:00,18:45:00,1,1,,0,0,
109,18:50:00,19:00:00,2,2,,0,0,
11,06:05:00,06:20:00,4,1,,0,0,
11,06:25:00,06:30:00,3,2,,0,0,
110,19:05:00,19:15:00,1,1,,0,0,
110,19:20:00,19:30:00,2,2,,0,0,
111,19:35:00,19:45:00,1,1,,0,0,
111,19:50:00,20:00:00,2,2,,0,0,
112,20:05:00,20:15:00,1,1,,0,0,
112,20:20:00,20:30:00,2,2,,0,0,
113,20:35:00,20:45:00,1,1,,0,0,
113,20:50:00,21:00:00,2,2,,0,0,
114,21:05:00,21:15:00,1,1,,0,0,
114,21:20:00,21:30:00,2,2,,0,0,
12,12:25:00,13:00:00,3,1,,0,0,
12,13:05:00,13:15:00,4,2,,0,0,
123,21:35:00,21:45:00,4,1,,0,0,
123,21:50:00,22:00:00,3,2,,0,0,
124,07:25:00,07:40:00,3,1,,0,0,
124,07:45:00,07:50:00,4,2,,0,0,
125,07:45:00,07:50:00,4,1,,0,0,
125,07:55:00,08:00:00,3,2,,0,0,
126,22:05:00,22:15:00,4,1,,0,0,
126,22:20:00,22:30:00,3,2,,0,0,
127,21:20:00,22:30:00,3,1,,0,0,
127,22:35:00,22:45:00,4,2,,0,0,
128,08:09:00,08:10:00,3,1,,0,0,
128,08:15:00,08:20:00,4,2,,0,0,
129,08:15:00,08:20:00,4,1,,0,0,
129,08:25:00,08:40:00,3,2,,0,0,
13,21:05:00,21:15:00,4,1,,0,0,
13,21:20:00,21:30:00,3,2,,0,0,
130,08:25:00,08:40:00,3,1,,0,0,
130,08:45:00,08:50:00,4,2,,0,0,
131,08:45:00,08:50:00,4,1,,0,0,
131,08:55:00,09:10:00,3,2,,0,0,
132,08:55:00,09:10:00,3,1,,0,0,
132,09:15:00,09:20:00,4,2,,0,0,
133,09:15:00,09:20:00,4,1,,0,0,
133,09:25:00,09:40:00,3,2,,0,0,
134,09:25:00,09:40:00,3,1,,0,0,
134,09:45:00,09:50:00,4,2,,0,0,
135,09:45:00,09:50:00,4,1,,0,0,
135,09:55:00,10:10:00,3,2,,0,0,
136,09:55:00,10:10:00,3,1,,0,0,
136,10:15:00,10:20:00,4,2,,0,0,
137,10:15:00,10:20:00,4,1,,0,0,
137,10:25:00,10:40:00,3,2,,0,0,
138,10:25:00,10:40:00,3,1,,0,0,
138,10:45:00,10:50:00,4,2,,0,0,
139,10:45:00,10:50:00,4,1,,0,0,
139,10:55:00,11:10:00,3,2,,0,0,
14,20:20:00,21:30:00,3,1,,0,0,
14,21:35:00,21:45:00,4,2,,0,0,
140,10:55:00,11:10:00,3,1,,0,0,
140,11:15:00,11:20:00,4,2,,0,0,
141,11:15:00,11:20:00,4,1,,0,0,
141,11:25:00,11:40:00,3,2,,0,0,
142,11:25:00,11:40:00,3,1,,0,0,
142,11:45:00,11:50:00,4,2,,0,0,
143,11:45:00,11:50:00,4,1,,0,0,
143,11:55:00,12:10:00,3,2,,0,0,
144,11:55:00,12:10:00,3,1,,0,0,
144,12:15:00,12:20:00,4,2,,0,0,
145,12:15:00,12:20:00,4,1,,0,0,
145,12:25:00,12:40:00,3,2,,0,0,
146,22:35:00,22:45:00,4,1,,0,0,
146,22:50:00,22:50:00,3,2,,0,0,
147,12:35:00,13:15:00,4,1,,0,0,
147,13:20:00,13:30:00,3,2,,0,0,
148,13:20:00,13:30:00,3,1,,0,0,
148,13:35:00,13:45:00,4,2,,0,0,
149,13:35:00,13:45:00,4,1,,0,0,
149,13:50:00,14:00:00,3,2,,0,0,
15,06:55:00,07:00:00,2,1,,0,0,
15,07:05:00,07:15:00,1,2,,0,0,
150,13:55:00,14:00:00,3,1,,0,0,
150,14:05:00,14:15:00,4,2,,0,0,
151,14:05:00,14:15:00,4,1,,0,0,
151,14:20:00,14:30:00,3,2,,0,0,
152,14:25:00,14:30:00,3,1,,0,0,
152,14:35:00,14:45:00,4,2,,0,0,
153,14:35:00,14:45:00,4,1,,0,0,
153,14:50:00,15:00:00,3,2,,0,0,
154,14:55:00,15:00:00,3,1,,0,0,
154,15:05:00,15:15:00,4,2,,0,0,
155,15:05:00,15:15:00,4,1,,0,0,
155,15:20:00,15:30:00,3,2,,0,0,
156,15:25:00,15:30:00,3,1,,0,0,
156,15:35:00,15:45:00,4,2,,0,0,
157,15:35:00,15:45:00,4,1,,0,0,
157,15:50:00,16:00:00,3,2,,0,0,
158,15:55:00,16:00:00,3,1,,0,0,
158,16:05:00,16:15:00,4,2,,0,0,
159,16:05:00,16:15:00,4,1,,0,0,
159,16:20:00,16:30:00,3,2,,0,0,
16,07:25:00,07:30:00,2,1,,0,0,
16,07:35:00,07:45:00,1,2,,0,0,
160,16:25:00,16:35:00,3,1,,0,0,
160,16:40:00,16:45:00,4,2,,0,0,
161,16:35:00,16:45:00,4,1,,0,0,
161,16:50:00,17:00:00,3,2,,0,0,
162,16:55:00,17:00:00,3,1,,0,0,
162,17:05:00,17:15:00,4,2,,0,0,
163,17:05:00,17:15:00,4,1,,0,0,
163,17:20:00,17:30:00,3,2,,0,0,
164,17:25:00,17:30:00,3,1,,0,0,
164,17:35:00,17:45:00,4,2,,0,0,
165,17:35:00,17:45:00,4,1,,0,0,
165,17:50:00,18:00:00,3,2,,0,0,
166,17:55:00,18:00:00,3,1,,0,0,
166,18:05:00,18:15:00,4,2,,0,0,
167,18:05:00,18:15:00,4,1,,0,0,
167,18:20:00,18:30:00,3,2,,0,0,
168,18:25:00,18:30:00,3,1,,0,0,
168,18:35:00,18:45:00,4,2,,0,0,
169,18:35:00,18:45:00,4,1,,0,0,
169,18:50:00,19:00:00,3,2,,0,0,
17,07:55:00,08:00:00,2,1,,0,0,
17,08:05:00,08:15:00,1,2,,0,0,
170,18:55:00,19:00:00,3,1,,0,0,
170,19:05:00,19:15:00,4,2,,0,0,
171,19:05:00,19:15:00,4,1,,0,0,
171,19:20:00,19:30:00,3,2,,0,0,
172,19:25:00,19:30:00,3,1,,0,0,
172,19:35:00,19:45:00,4,2,,0,0,
173,19:35:00,19:45:00,4,1,,0,0,
173,19:50:00,20:00:00,3,2,,0,0,
174,19:55:00,20:00:00,3,1,,0,0,
174,20:05:00,20:15:00,4,2,,0,0,
175,20:05:00,20:15:00,4,1,,0,0,
175,20:20:00,20:30:00,3,2,,0,0,
176,20:25:00,20:30:00,3,1,,0,0,
176,20:35:00,20:45:00,4,2,,0,0,
177,20:35:00,20:45:00,4,1,,0,0,
177,20:50:00,21:00:00,3,2,,0,0,
178,20:55:00,21:00:00,3,1,,0,0,
178,21:05:00,21:30:00,4,2,,0,0,
179,05:50:00,06:00:00,5,1,,0,0,
179,06:05:00,06:25:00,6,2,,0,0,
18,05:15:00,05:30:00,3,1,,0,0,
18,05:35:00,05:40:00,4,2,,0,0,
180,21:35:00,22:00:00,3,1,,0,0,
180,22:05:00,22:20:00,4,2,,0,0,
181,06:30:00,07:00:00,5,1,,0,0,
181,07:05:00,07:20:00,6,2,,0,0,
