route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
2,3,5,Hemiksem,,0,,2,1,1
2,3,6,Bazel,,1,,7,1,1
2,3,10,Hemiksem,,0,,2,1,1
2,3,11,Bazel,,1,,7,1,1
2,3,124,Hemiksem,,0,,2,1,1
2,3,125,Bazel,,1,,7,1,1
2,3,128,Hemiksem,,0,,2,1,1
2,3,129,Bazel,,1,,7,1,1
2,3,130,Hemiksem,,0,,2,1,1
2,3,131,Bazel,,1,,7,1,1
2,3,132,Hemiksem,,0,,2,1,1
2,3,133,Bazel,,1,,7,1,1
2,3,134,Hemiksem,,0,,2,1,1
2,3,135,Bazel,,1,,7,1,1
2,3,136,Hemiksem,,0,,2,1,1
2,3,137,Bazel,,1,,7,1,1
2,3,138,Hemiksem,,0,,2,1,1
2,3,139,Bazel,,1,,7,1,1
2,3,140,Hemiksem,,0,,2,1,1
2,3,141,Bazel,,1,,7,1,1
2,3,142,Hemiksem,,0,,2,1,1
2,3,143,Bazel,,1,,7,1,1
2,3,144,Hemiksem,,0,,2,1,1
2,3,145,Bazel,,1,,7,1,1
2,3,147,Bazel,,1,,7,1,1
2,3,148,Hemiksem,,0,,2,1,1
2,3,149,Bazel,,1,,7,1,1
2,3,150,Hemiksem,,0,,2,1,1
2,3,151,Bazel,,1,,7,1,1
2,3,152,Hemiksem,,0,,2,1,1
2,3,153,Bazel,,1,,7,1,1
2,3,154,Hemiksem,,0,,2,1,1
2,3,155,Bazel,,1,,7,1,1
2,3,156,Hemiksem,,0,,2,1,1
2,3,157,Bazel,,1,,7,1,1
2,3,158,Hemiksem,,0,,2,1,1
2,3,159,Bazel,,1,,7,1,1
2,3,160,Hemiksem,,0,,2,1,1
2,3,161,Bazel,,1,,7,1,1
2,3,162,Hemiksem,,0,,2,1,1
2,3,163,Bazel,,1,,7,1,1
2,3,164,Hemiksem,,0,,2,1,1
2,3,165,Bazel,,1,,7,1,1
2,3,166,Hemiksem,,0,,2,1,1
2,3,167,Bazel,,1,,7,1,1
2,3,168,Hemiksem,,0,,2,1,1
2,3,169,Bazel,,1,,7,1,1
2,3,170,Hemiksem,,0,,2,1,1
2,3,171,Bazel,,1,,7,1,1
2,3,172,Hemiksem,,0,,2,1,1
2,3,173,Bazel,,1,,7,1,1
2,3,174,Hemiksem,,0,,2,1,1
2,3,175,Bazel,,1,,7,1,1
2,3,176,Hemiksem,,0,,2,1,1
2,3,177,Bazel,,1,,7,1,1
2,3,178,Hemiksem,,0,,2,1,1
2,3,180,Hemiksem,,0,,2,1,1
3,5,9,Hoboken,,0,,3,1,1
3,7,304,Kruibeke,,1,,5,1,1
3,5,305,Hoboken,,0,,3,1,1
