"DIENSTREGELING
KRUIBEKE - HOBOKEN (KRH)"
"VERTREK VEER KRUIBEKE
NAAR HOBOKEN","VERTREK VEER HOBOKEN
NAAR KRUIBEKE"
"5:00
5:15
5:45
6:10
6:30
6:50
7:15
7:35
7:55
8:30
9:00
9:30
10:00
10:30
11:00
11:30
12:00
12:25
13:15
13:30
14:00
14:30
15:00
15:30
16:00
16:30
17:00
17:30
18:00
18:30
19:00
19:30
20:00
20:45
21:15
22:10
22:45","5:10
5:30
6:00
6:25
6:40
7:10
7:25
7:45
8:20
8:50
9:20
9:50
10:20
10:50
11:20
11:50
12:20
12:40
13:20
13:50
14:20
14:50
15:20
15:50
16:20
16:50
17:20
17:50
18:20
18:50
19:20
19:50
20:30
21:10
22:00
22:25
23:00"
"VERTREK VEER KRUIBEKE
NAAR HOBOKEN","VERTREK VEER HOBOKEN
NAAR KRUIBEKE"
"5:00
5:15
6:00
7:00
8:00
8:30
9:00
9:30
10:00
10:30
11:00
11:30
12:00
13:10
13:30
14:00
14:30
15:00
15:30
16:00
16:30
17:00
17:30
18:00
18:30
19:00
19:30
20:00
20:40
21:00
21:30
22:00
*
22:30","5:10
5:45
6:25
7:20
8:20
8:50
9:20
9:50
10:20
10:50
11:20
11:50
12:10
13:20
13:50
14:20
14:50
15:20
15:50
16:20
16:50
17:20
17:50
18:20
18:50
19:20
19:50
20:20
20:50
21:20
21:50
22:25
22:40*"
