"DIENSTREGELING *
BAZEL - HEMIKSEM (BAZ)"
"VERTREK VEER BAZEL
NAAR HEMIKSEM","VERTREK VEER HEMIKSEM
NAAR BAZEL"
"5:00
5:30
6:00
6:30
7:10
7:40
8:00
8:10
8:40
9:10
9:40
10:10
10:40
11:10
11:40
12:10
12:30
13:30
14:00
14:30
15:00
15:30
16:00
16:35
17:00
17:30
18:00
18:30
19:00
19:30
20:00
20:30
21:00
22:00
22:45","5:10
5:40
6:20
6:40
7:20
7:50
8:05
8:20
8:50
9:20
9:50
10:20
10:50
11:20
11:50
12:20
13:15
13:45
14:15
14:45
15:15
15:45
16:15
16:45
17:15
17:45
18:15
18:45
19:15
19:45
20:15
20:45
21:30
22:20
23:00"
"VERTREK VEER BAZEL
NAAR HEMIKSEM","VERTREK VEER HEMIKSEM
NAAR BAZEL"
"5:00
5:20
6:00
7:00
7:40
8:10
8:40
9:10
9:40
10:10
10:40
11:10
11:40
12:10
13:00
13:30
14:00
14:30
15:00
15:30
16:00
16:30
17:00
17:30
18:00
18:30
19:00
19:30
20:00
20:30
21:00
21:30
22:00
22:30","5:10
5:45
6:20
7:15
7:50
8:20
8:50
9:20
9:50
10:20
10:50
11:20
11:50
12:20
13:15
13:45
14:15
14:45
15:15
15:45
16:15
16:45
17:15
17:45
18:15
18:45
19:15
19:45
20:15
20:45
21:15
21:45
22:15
22:45"
